caso,t,sigma,criterio,ciclo,r_k,r_prev,q_k
cero γ≈1000,1001.3494,0.5,angular,133,0.033087,0.033076,1.000308
cero γ≈1000,1001.3494,0.5,angular,134,0.033208,0.033087,1.003655
cero γ≈1000,1001.3494,0.5,angular,135,0.033313,0.033208,1.003174
cero γ≈1000,1001.3494,0.5,angular,136,0.033363,0.033313,1.001513
cero γ≈1000,1001.3494,0.5,angular,137,0.033495,0.033363,1.003955
cero γ≈1000,1001.3494,0.5,angular,138,0.033539,0.033495,1.001313
cero γ≈1000,1001.3494,0.5,angular,139,0.033657,0.033539,1.003517
cero γ≈1000,1001.3494,0.5,angular,140,0.033747,0.033657,1.002657
cero γ≈1000,1001.3494,0.5,angular,141,0.033809,0.033747,1.001853
cero γ≈1000,1001.3494,0.5,angular,142,0.033928,0.033809,1.003512
cero γ≈1000,1001.3494,0.5,angular,143,0.034036,0.033928,1.003199
cero γ≈1000,1001.3494,0.5,angular,144,0.034082,0.034036,1.001329
cero γ≈1000,1001.3494,0.5,angular,145,0.034180,0.034082,1.002887
cero γ≈1000,1001.3494,0.5,angular,146,0.034280,0.034180,1.002933
cero γ≈1000,1001.3494,0.5,angular,147,0.034377,0.034280,1.002813
cero γ≈1000,1001.3494,0.5,angular,148,0.034471,0.034377,1.002734
cero γ≈1000,1001.3494,0.5,angular,149,0.034564,0.034471,1.002698
cero γ≈1000,1001.3494,0.5,angular,150,0.034657,0.034564,1.002704
cero γ≈1000,1001.3494,0.5,angular,151,0.034753,0.034657,1.002750
cero γ≈1000,1001.3494,0.5,angular,152,0.034851,0.034753,1.002835
cero γ≈1000,1001.3494,0.5,angular,153,0.034962,0.034851,1.003169
cero γ≈1000,1001.3494,0.5,angular,154,0.035020,0.034962,1.001675
cero γ≈1000,1001.3494,0.5,angular,155,0.035126,0.035020,1.003023
cero γ≈1000,1001.3494,0.5,angular,156,0.035241,0.035126,1.003276
cero γ≈1000,1001.3494,0.5,angular,157,0.035322,0.035241,1.002284
cero γ≈1000,1001.3494,0.5,angular,158,0.035419,0.035322,1.002747
cero γ≈1000,1001.3494,0.5,angular,159,0.035535,0.035419,1.003285
cero γ≈1000,1001.3494,0.5,angular,160,0.035608,0.035535,1.002048
